X [s],Trigno sensor (EMG) 1: EMG 1 [Volts],Trigno sensor (EMG) 2: EMG 2 [Volts]
0.000000e+000,0.000000e+000,0.000000e+000
5.000000e-004,0.000000e+000,0.000000e+000
1.000000e-003,0.000000e+000,0.000000e+000
1.500000e-003,0.000000e+000,0.000000e+000
2.000000e-003,0.000000e+000,0.000000e+000
2.500000e-003,0.000000e+000,0.000000e+000
3.000000e-003,0.000000e+000,0.000000e+000
3.500000e-003,0.000000e+000,0.000000e+000
4.000000e-003,0.000000e+000,0.000000e+000
4.500000e-003,0.000000e+000,0.000000e+000
5.000000e-003,0.000000e+000,0.000000e+000
5.500000e-003,0.000000e+000,0.000000e+000
6.000000e-003,0.000000e+000,0.000000e+000
6.500000e-003,0.000000e+000,0.000000e+000
7.000000e-003,0.000000e+000,0.000000e+000
7.500000e-003,0.000000e+000,0.000000e+000
8.000000e-003,0.000000e+000,0.000000e+000
8.500000e-003,0.000000e+000,0.000000e+000
9.000000e-003,0.000000e+000,0.000000e+000
9.500000e-003,0.000000e+000,0.000000e+000
1.000000e-002,0.000000e+000,0.000000e+000
1.050000e-002,0.000000e+000,0.000000e+000
1.100000e-002,0.000000e+000,0.000000e+000
1.150000e-002,0.000000e+000,0.000000e+000
1.200000e-002,0.000000e+000,0.000000e+000
1.250000e-002,0.000000e+000,0.000000e+000
1.300000e-002,0.000000e+000,0.000000e+000
1.350000e-002,0.000000e+000,0.000000e+000
1.400000e-002,0.000000e+000,0.000000e+000
1.450000e-002,0.000000e+000,0.000000e+000
1.500000e-002,0.000000e+000,0.000000e+000
1.550000e-002,0.000000e+000,0.000000e+000
1.600000e-002,0.000000e+000,0.000000e+000
1.650000e-002,0.000000e+000,0.000000e+000
1.700000e-002,0.000000e+000,0.000000e+000
1.750000e-002,0.000000e+000,0.000000e+000
1.800000e-002,0.000000e+000,0.000000e+000
1.850000e-002,0.000000e+000,0.000000e+000
1.900000e-002,0.000000e+000,0.000000e+000
1.950000e-002,0.000000e+000,0.000000e+000
2.000000e-002,0.000000e+000,0.000000e+000
2.050000e-002,0.000000e+000,0.000000e+000
2.100000e-002,0.000000e+000,0.000000e+000
2.150000e-002,0.000000e+000,0.000000e+000
